ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"212.154.251.210","elite","AS50482","KZ","JSC Kazakhtelecom","104","Limited liability company","5678","socks4","4897","1","2023-11-09T16:11:17.995Z","99","4654","4710"
"14.207.121.162","elite","AS45629","TH","Triple T Broadband Public Company Limited","166","Triple T Broadband Public Company Limited","8080","socks4","5012","1","2023-11-09T16:11:17.799Z","89","4160","4664"
"196.15.237.171","elite","AS5713","ZA","Telkom SA Ltd.","298","Telkom SA Ltd","1888","socks4","4904","79","2023-11-09T16:11:17.998Z","91","4236","4649"
"190.107.146.156","elite","AS14754","HN","Telgua","195","HFC TGU SERCOM","4145","socks4","436","96","2023-11-09T16:11:12.008Z","98","4635","4720"
"66.42.60.190","elite","AS20473","SG","Choopa","181","N/A","21358","socks5","5596","1","2023-11-09T16:11:11.798Z","88","4148","4695"
"178.212.65.61","elite","AS47939","RU","TDV \"Teleradio company \"Yalta\"","97","Yaltatvnet","3629","socks4","4495","96","2023-11-09T16:11:11.704Z","96","4517","4708"
"154.72.183.230","elite","AS15964","CM","CAMTEL additional","198","N/A","5678","socks4","533","1","2023-11-09T16:11:06.795Z","89","4193","4726"
"182.53.96.140","elite","AS23969","TH","TOT Public Company Limited","156","TOT Public Company Limited","4153","socks4","2889","1","2023-11-09T16:11:05.699Z","99","4617","4642"
"186.251.255.65","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","208","Seanet Telecom Carazinho Eireli","31337","socks4","2091","2","2023-11-09T16:11:05.714Z","100","4716","4737"
"187.95.82.38","elite","AS262696","BR","Turbonet Telecomunicações","296","Turbonet Telecomunicações","3629","socks4","4394","1","2023-11-09T16:11:05.711Z","98","4647","4765"
"185.162.93.62","elite","AS41722","RU","MIRAN-VS","40","N/A","9050","socks5","4991","1","2023-11-09T16:11:05.703Z","99","4656","4687"
"70.32.25.146","elite","AS55293","US","A2 Hosting, Inc.","92","A2 Hosting, Inc.","36546","socks4","3804","1","2023-11-09T16:11:00.607Z","100","4606","4613"
"157.245.59.71","elite","AS14061","SG","DigitalOcean, LLC","202","DigitalOcean, LLC","42765","socks4","4988","1","2023-11-09T16:11:00.604Z","100","4714","4715"
"38.127.173.9","elite","AS174","US","Cogent Communications","94","Torlandia Trading SRL","46656","socks5","2102","2","2023-11-09T16:11:00.599Z","100","4662","4670"
"118.172.128.50","elite","AS23969","TH","TOT Public Company Limited","167","TOT Public Company Limited","4145","socks4","5098","1","2023-11-09T16:11:00.798Z","53","2471","4644"
"103.47.93.210","elite","AS134058","IN","Broban Internet Services Pvt.ltd","200","Broban  PVT Ltd.","1080","socks4","2297","1","2023-11-09T16:10:59.809Z","99","4668","4709"
"124.156.157.218","elite","AS132203","HK","Tencent Cloud Computing (Beijing) Co","240","N/A","13220","socks5","4703","2","2023-11-09T16:10:59.903Z","100","4726","4734"
"122.141.111.80","elite","AS4837","CN","CNC Group CHINA169 Jilin Province Network","491","N/A","38801","socks5","4095","1","2023-11-09T16:10:59.898Z","49","2227","4585"
"192.154.194.99","elite","AS64200","US","Vivid-hosting LLC","146","Vivid-hosting LLC","9000","socks5","1009","5","2023-11-09T16:10:59.799Z","100","4625","4629"
"189.201.189.2","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","159","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","4410","1","2023-11-09T16:10:55.404Z","99","4669","4721"
"51.89.3.130","elite","AS16276","GB","OVH SAS","82","OVH BE","30444","socks4","5085","1","2023-11-09T16:10:55.494Z","100","4585","4586"
"185.245.38.200","elite","AS204623","RU","OOO New Line","95","OOO New Line","4145","socks4","4299","1","2023-11-09T16:10:54.300Z","86","3956","4596"
"190.15.247.231","elite","AS27881","AR","Ipnext S.A.","291","Ipnext S.A","5678","socks4","4798","1","2023-11-09T16:10:54.203Z","47","2203","4713"
"125.229.3.41","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","264","Chunghwa Telecom Co. Ltd.","80","socks5","4585","186","2023-11-09T16:10:54.095Z","98","4496","4573"
"110.34.166.179","elite","AS45652","SG","VPLS, Inc.","392","Vpls Sin1","4153","socks4","1811","1","2023-11-09T16:10:54.200Z","99","4665","4717"
"45.196.150.222","elite","AS7018","US","AT&T Services, Inc.","90","AQUA Networks Limited","5432","socks4","4397","2","2023-11-09T16:10:53.908Z","98","4591","4676"
"180.183.204.143","elite","AS45629","TH","Triple T Broadband Public Company Limited","215","Triple T Broadband Public Company Limited","8080","socks4","5309","1","2023-11-09T16:10:48.706Z","92","4309","4692"
"183.88.70.114","elite","AS45629","TH","Triple T Broadband Public Company Limited","396","Triple T Broadband Public Company Limited","8080","socks4","4414","1","2023-11-09T16:10:48.797Z","87","4069","4654"
"69.163.252.140","elite","AS26347","US","New Dream Network, LLC","200","New Dream Network, LLC","10754","socks4","2997","7","2023-11-09T16:10:48.698Z","100","4738","4742"
"103.47.93.223","elite","AS134058","IN","Broban Internet Services Pvt.ltd","159","Broban  PVT Ltd.","1080","socks4","5007","2","2023-11-09T16:10:48.606Z","99","4677","4714"
"104.20.198.49","elite","AS13335","CA","Cloudflare, Inc.","102","Cloudflare, Inc.","80","socks4","4793","1","2023-11-09T16:10:48.599Z","100","4709","4709"
"183.81.156.225","elite","AS24527","ID","Internet Service Provider","205","POP Jepara","5678","socks4","4995","1","2023-11-09T16:10:48.595Z","99","4720","4749"
"67.205.132.249","elite","AS14061","US","DigitalOcean, LLC","100","Digital Ocean","80","socks4","4496","1","2023-11-09T16:10:43.308Z","100","4601","4620"
"103.35.108.206","elite","AS23991","BD","Ranks ITT","154","Ranks ITT Ltd.","4145","socks4","5202","81","2023-11-09T16:10:43.403Z","99","4694","4727"
"185.66.59.251","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","34","Svint","42647","socks4","4398","2","2023-11-09T16:10:43.809Z","71","3296","4643"
"190.152.12.54","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","197","Corporacion Nacional De Telecomunicaciones - CNT EP","47017","socks4","1797","1","2023-11-09T16:10:43.812Z","98","4643","4717"
"103.15.245.18","elite","AS58717","BD","Summit Communications Limited","204","SUMMITCOMMUNICATIONS","4153","socks4","2106","1","2023-11-09T16:10:43.800Z","98","4726","4807"
"188.255.244.5","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","82","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4611","6","2023-11-09T16:10:43.107Z","100","4675","4689"
"200.70.19.92","elite","AS10834","AR","Telefonica de Argentina","288","Telefonica de Argentina","4153","socks4","4791","1","2023-11-09T16:10:37.595Z","97","4629","4755"
"103.132.0.161","elite","AS138276","IN","Typhoon Communication Pvt. Ltd","119","Typhoon Communication Pvt Ltd","5678","socks4","4809","1","2023-11-09T16:10:36.601Z","83","3973","4762"
"104.16.213.202","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks4","2698","96","2023-11-09T16:10:36.505Z","100","4640","4640"
"186.211.6.137","elite","AS53156","BR","PortalSAT Telecom","229","eliziane oliveira sobrinho","4145","socks4","385","1","2023-11-09T16:10:36.399Z","99","4646","4714"
"109.195.187.178","elite","AS52207","RU","CJSC \"ER-Telecom Holding\" Tula branch","96","JSC \"ER-Telecom Holding\" Tula Branch","9150","socks5","2810","2","2023-11-09T16:10:36.508Z","100","4679","4692"
"103.47.93.206","elite","AS134058","IN","Broban Internet Services Pvt.ltd","206","Broban  PVT Ltd.","1080","socks4","4998","1","2023-11-09T16:10:36.402Z","99","4737","4770"
"36.255.104.9","elite","AS136238","MV","SatLink Pvt Ltd","187","N/A","1080","socks4","2704","87","2023-11-09T16:10:28.903Z","100","4727","4745"
"194.146.110.211","elite","AS29496","UA","Link-Service Ltd.","102","Link-Service Ltd.","8888","socks4","5091","1","2023-11-09T16:10:27.906Z","99","4597","4638"
"64.124.145.1","elite","AS6461","US","Zayo Bandwidth","187","D&P Digital Forensics LLC","1080","socks4","4700","2","2023-11-09T16:10:27.999Z","100","4739","4748"
"38.127.173.41","elite","AS174","US","Cogent Communications","99","Torlandia Trading SRL","11537","socks5","3300","1","2023-11-09T16:10:23.497Z","100","4637","4645"
"189.50.111.164","elite","AS28668","BR","Silva & Silveira Provedor de Internet Ltda","196","Silva & Silveira Provedor de Internet Ltda","3629","socks4","5006","1","2023-11-09T16:10:23.401Z","70","3273","4661"
"31.206.38.49","elite","AS15924","TR","Vodafone Net Iletisim Hizmetler","90","Vodafone Net Iletisim Hizmetler","37630","socks4","1208","1","2023-11-09T16:10:22.601Z","100","4719","4735"
"188.114.98.25","elite","AS13335","NL","Cloudflare, Inc.","3","CloudFlare, Inc.","443","socks4","5109","1","2023-11-09T16:10:22.595Z","100","4643","4643"
"201.140.238.230","elite","AS266148","BR","Mais Fibra Telecomunicacao Ltda","190","Mais Fibra Telecomunicacao Ltda","5678","socks4","4601","4","2023-11-09T16:10:22.398Z","100","4712","4733"
"101.43.3.207","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","201","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","4697","1","2023-11-09T16:10:22.598Z","68","3136","4625"
"51.158.111.242","elite","AS12876","FR","SCALEWAY","5","ONLINE","8811","socks4","5192","2","2023-11-09T16:10:18.497Z","58","2764","4749"
"101.73.162.83","elite","AS4837","CN","China Unicom Hebei Province Network","198","N/A","1080","socks5","5003","1","2023-11-09T16:10:17.498Z","77","3652","4757"
"197.234.13.34","elite","AS36902","SC","Intelvision","196","Intelvision Ltd","4145","socks4","3094","1","2023-11-09T16:10:17.596Z","100","4645","4660"
"45.7.210.195","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","302","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","4501","1","2023-11-09T16:10:17.600Z","99","4627","4665"
"138.201.248.43","elite","AS24940","DE","Hetzner Online GmbH","24","Hetzner","31043","socks5","4405","85","2023-11-09T16:10:17.610Z","95","4499","4740"
"113.160.164.181","elite","AS45899","VN","VietNam Post and Telecom Corporation","197","Vietnam Posts and Telecommunications Group","1080","socks4","2103","1","2023-11-09T16:10:12.898Z","99","4591","4649"
"222.241.144.17","elite","AS4134","CN","Chinanet","229","N/A","2080","socks5","1608","1","2023-11-09T16:10:11.696Z","37","1714","4647"
"165.154.227.154","elite","AS142002","TW","Scloud Pte Ltd","229","Scloud Pte Ltd","25031","socks5","5096","2","2023-11-09T16:10:11.995Z","55","2621","4745"
"182.46.115.85","elite","AS4134","CN","Chinanet","194","Chinanet SD","9999","socks4","4201","87","2023-11-09T16:10:11.908Z","50","2335","4701"
"35.180.201.66","elite","AS16509","FR","Amazon Technologies Inc.","2","AWS EC2 (eu-west-3)","3128","socks4","5094","2","2023-11-09T16:10:11.812Z","100","4753","4753"
"118.174.209.90","elite","AS23969","TH","TOT Public Company Limited","152","TOT Public Company Limited","4145","socks4","4801","10","2023-11-09T16:10:11.805Z","53","2489","4662"
"185.189.14.93","elite","AS50113","RU","NTX Technologies s.r.o.","92","First Server Limited","1195","socks5","4994","1","2023-11-09T16:10:06.701Z","99","4715","4770"
"51.75.83.94","elite","AS16276","DE","OVH SAS","11","mizbandadehpardazi Mobinh","1080","socks5","1508","2","2023-11-09T16:10:06.698Z","78","3703","4748"
"125.209.114.38","elite","AS9260","PK","Multinet 125-114/24","1100","Multinet Broadband","5678","socks4","338","1","2023-11-09T16:10:05.811Z","95","4342","4574"
"43.157.53.134","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","27","Tencent Cloud Computing","443","socks4","5098","2","2023-11-09T16:10:05.913Z","84","3946","4693"
"82.77.129.205","elite","AS8708","RO","RCS & RDS","88","RCS & RDS Business","5678","socks4","3094","2","2023-11-09T16:10:05.795Z","86","4088","4746"
"203.205.55.161","elite","AS45903","VN","CMC Telecom Infrastructure Company","200","CMC Telecom Infrastructure Company","5678","socks4","5202","7","2023-11-09T16:10:05.898Z","99","4703","4734"
"38.127.179.125","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","46656","socks5","3903","2","2023-11-09T16:10:00.698Z","100","4615","4624"
"117.54.201.94","elite","AS9340","ID","PT IndoInternet","185","N/A","5678","socks4","5996","2","2023-11-09T16:09:59.504Z","89","4148","4667"
"164.52.24.141","elite","AS63199","JP","Capitalonline Data Service (HK) Co","300","N/A","8030","socks5","4211","1","2023-11-09T16:09:59.705Z","98","4673","4768"
"2.62.139.82","elite","AS12389","RU","OJSC \"Sibirtelecom\"","99","OJSC Sibirtelecom","1080","socks5","4803","2","2023-11-09T16:09:59.802Z","43","1968","4605"
"121.237.224.43","elite","AS4134","CN","Chinanet","280","Chinanet JS","10001","socks4","1913","1","2023-11-09T16:09:59.895Z","43","1944","4506"
"193.136.14.120","elite","AS1930","PT","Fundacao para a Ciencia e a Tecnologia, I.P.","96","N/A","80","socks4","1490","1","2023-11-09T16:09:59.799Z","94","4519","4804"
"47.90.200.204","elite","AS45102","US","Alibaba.com LLC","79","ALICLOUD-US","19527","socks5","2004","2","2023-11-09T16:09:59.703Z","94","4395","4684"
"36.90.105.11","elite","AS7713","ID","PT. Telekomunikasi Indonesia","297","Telekomunikasi Indonesia","3128","socks4","4397","83","2023-11-09T16:09:53.705Z","98","4677","4782"
"14.63.1.108","elite","AS4766","KR","Korea Telecom","266","Kornet","4145","socks4","5119","1","2023-11-09T16:09:53.812Z","100","4623","4630"
"104.27.122.6","elite","AS13335","CA","Cloudflare, Inc.","5","Cloudflare, Inc.","80","socks4","1591","1","2023-11-09T16:09:53.797Z","100","4650","4651"
"94.181.174.77","elite","AS41754","RU","CJSC \"ER-Telecom Holding\" Penza branch","66","JSC \"ER-Telecom Holding\" Penza Branch","4153","socks5","4792","1","2023-11-09T16:09:49.100Z","99","4644","4678"
"103.47.93.199","elite","AS134058","IN","Broban Internet Services Pvt.ltd","198","Broban  PVT Ltd.","13405","socks5","4283","1","2023-11-09T16:09:49.795Z","99","4720","4758"
"103.103.143.63","elite","AS136635","IN","G-max It Services Private Limited","199","G-max It Services Private Limited","5678","socks4","4816","2","2023-11-09T16:09:49.116Z","98","4627","4715"
"123.121.130.241","elite","AS4808","CN","China Unicom Beijing Province Network","165","N/A","9999","socks4","4702","1","2023-11-09T16:09:48.999Z","84","3914","4671"
"181.88.73.214","elite","AS7303","AR","Telecom Argentina S.A","310","Telecom Acceso","5678","socks4","4999","1","2023-11-09T16:09:48.900Z","100","4662","4672"
"173.212.196.229","elite","AS51167","DE","Contabo GmbH","80","Contabo GmbH","9055","socks5","5093","1","2023-11-09T16:09:43.801Z","100","4639","4640"
"177.8.113.61","elite","AS263028","BR","Roveri Opção Provedor de Acesso a Internet Ltda ME","288","Roveri Opção Provedor de Acesso a Internet Ltda ME","50297","socks5","4201","1","2023-11-09T16:09:42.899Z","82","3882","4717"
"181.66.37.78","elite","AS6147","PE","Telefonica del Peru S.A.A.","300","Telefonica del Peru S.A.A","4153","socks4","617","1","2023-11-09T16:09:42.801Z","64","2984","4638"
"183.89.116.141","elite","AS45629","TH","Triple T Broadband Public Company Limited","170","Triple T Broadband Public Company Limited","4145","socks4","4616","1","2023-11-09T16:09:42.703Z","90","4249","4721"
"8.219.150.127","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","407","Alibaba.com Singapore E-Commerce Private Limited","443","socks5","3497","89","2023-11-09T16:09:42.700Z","22","1050","4694"
"46.227.38.1","elite","AS51155","PL","TB Telecom Sp. z o. o.","42","Telemedian","1088","socks4","924","1","2023-11-09T16:09:38.206Z","100","4739","4752"
"186.47.23.6","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","198","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","2998","1","2023-11-09T16:09:37.096Z","97","4553","4688"
"45.249.101.4","elite","AS135411","BD","Red Grapes Pte Ltd","179","N/A","56457","socks4","4808","1","2023-11-09T16:09:37.203Z","100","4715","4737"
"186.251.255.253","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","245","Seanet Telecom Carazinho Eireli","31337","socks4","5004","1","2023-11-09T16:09:37.209Z","100","4632","4652"
"173.236.181.192","elite","AS26347","US","New Dream Network, LLC","94","New Dream Network, LLC","24310","socks5","4997","1","2023-11-09T16:09:37.196Z","100","4645","4654"
"192.12.113.255","elite","AS61942","BR","Turbonet Telecom Ltda","200","Turbonet Telecom Ltda","4145","socks4","5005","2","2023-11-09T16:09:36.997Z","81","3831","4707"
"178.212.98.200","elite","AS48957","UA","Joint Ukrainian American Enterprise \"Telecommunications Resource Center\" ltd","38","LVIV2","44550","socks4","5293","2","2023-11-09T16:09:37.000Z","97","4542","4692"
"83.17.222.146","elite","AS5617","PL","Orange Polska Spolka Akcyjna","33","Orange Polska S.A.","5678","socks4","1600","1","2023-11-09T16:09:31.101Z","95","4523","4756"
"116.58.232.126","elite","AS131090","TH","CAT-BB","289","N/A","4145","socks4","2101","2","2023-11-09T16:09:31.006Z","62","2944","4745"
"116.206.151.198","elite","AS132445","IN","Wire And Wireless Solutions","171","Prakash Kumar Khetan T/A WIRE AND WIRELESS SOLUTIONS","4153","socks4","5092","1","2023-11-09T16:09:20.995Z","98","4629","4707"
"103.48.58.213","elite","AS58678","IN","SHRIGANESH","110","N/A","8080","socks4","4913","94","2023-11-09T16:09:20.698Z","100","4660","4674"
"180.183.69.89","elite","AS45629","TH","Triple T Broadband Public Company Limited","189","Triple T Broadband Public Company Limited","8080","socks5","785","1","2023-11-09T16:09:19.599Z","97","4519","4637"
"218.2.112.243","elite","AS4134","CN","China Telecom","233","Nanjing Forest Police University","80","socks5","2194","99","2023-11-09T16:09:19.606Z","86","4034","4691"
"138.68.132.158","elite","AS14061","GB","DigitalOcean, LLC","26","DigitalOcean, LLC","8118","socks5","2510","1","2023-11-09T16:09:19.613Z","100","4610","4610"
"182.53.129.19","elite","AS23969","TH","TOT Public Company Limited","162","TOT Public Company Limited","5678","socks4","3606","2","2023-11-09T16:09:14.196Z","46","2142","4611"
"178.128.92.83","elite","AS14061","SG","DigitalOcean, LLC","150","Digitalocean","20241","socks4","810","96","2023-11-09T16:09:14.210Z","100","4634","4642"
"159.89.173.98","elite","AS14061","IN","DigitalOcean, LLC","130","DigitalOcean, LLC","14061","socks5","411","1","2023-11-09T16:09:12.396Z","92","4373","4758"
"119.28.73.226","elite","AS132203","HK","ComsenzNet","297","Tencent cloud computing (Beijing) Co., Ltd.","30002","socks4","4687","2","2023-11-09T16:09:06.203Z","100","4639","4660"
"186.235.184.9","elite","AS61888","BR","GFT COMERCIO DE TELEFONIA E COMUNICACAO LTDA","199","Avil Tecidos Recife Ltda","4153","socks4","2205","1","2023-11-09T16:09:06.295Z","100","4699","4714"
"45.116.114.29","elite","AS58898","IN","Rainbow communications India Pvt Ltd","163","Rainbow Communications India Pvt Ltd","5678","socks4","5006","2","2023-11-09T16:09:01.506Z","91","4292","4697"
"149.20.253.51","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","5397","4","2023-11-09T16:09:01.511Z","100","4694","4707"
"185.162.231.254","elite","AS209242","GB","Cloudflare London, LLC","14","Softconstruct Limited","80","socks5","515","2","2023-11-09T16:09:00.199Z","100","4582","4582"
"162.255.108.254","elite","AS54755","US","Desert Winds Wireless","192","Desert Winds Wireless Inc","5678","socks4","4605","1","2023-11-09T16:09:00.406Z","100","4761","4774"
"178.128.151.87","elite","AS14061","US","DigitalOcean, LLC","147","Digitalocean","40081","socks5","4888","1","2023-11-09T16:08:55.298Z","100","4700","4722"
"196.196.160.211","elite","AS57858","IT","Inter Connects Inc","35","Fiber Grid","80","socks4","4910","1","2023-11-09T16:08:55.207Z","97","4607","4731"
"50.116.14.201","elite","AS63949","US","Akamai Technologies, Inc.","195","Linode","7497","socks5","3801","1","2023-11-09T16:08:50.695Z","100","4654","4659"
"110.78.141.77","elite","AS131090","TH","CAT-BB","210","N/A","4145","socks4","3709","1","2023-11-09T16:08:45.407Z","70","3289","4674"
"62.31.237.202","elite","AS5089","GB","Virgin Media Business","29","Optify Mediaforce Limited","1080","socks4","4304","2","2023-11-09T16:08:45.403Z","100","4730","4740"
"51.68.39.62","elite","AS16276","FR","OVH SAS","5","OVH","58347","socks5","3897","1","2023-11-09T16:08:45.809Z","100","4654","4656"
"83.171.112.77","elite","AS12389","RU","Rostelecom networks","96","OJSC North-West Telecom","12389","socks4","4302","1","2023-11-09T16:08:43.000Z","100","4645","4663"
"213.136.69.153","elite","AS51167","DE","Contabo GmbH","100","Contabo GmbH","63791","socks5","4086","1","2023-11-09T16:08:41.600Z","100","4725","4727"
"178.236.118.115","elite","AS51151","ES","Comunicaciones Enersol, S.L.","51","COMENERSOL","5678","socks4","1316","1","2023-11-09T16:08:31.102Z","92","4357","4716"
"39.108.113.204","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","299","Aliyun Computing Co., LTD","20000","socks5","4883","2","2023-11-09T16:08:31.197Z","84","3976","4759"
"110.78.186.90","elite","AS131090","TH","CAT-BB","208","N/A","4145","socks4","3500","1","2023-11-09T16:08:31.998Z","58","2738","4690"
"94.130.179.24","elite","AS24940","DE","Hetzner Online GmbH","98","Hetzner","8040","socks4","4001","1","2023-11-09T16:08:31.199Z","96","4459","4637"
"182.160.124.106","elite","AS24323","BD","Aamra Networks Limited","288","N/A","5678","socks4","4394","1","2023-11-09T16:08:29.298Z","89","4100","4609"
"77.46.153.185","elite","AS8400","RS","TELEKOM SRBIJA a.d.","34","x UNICREDIT BANK SRBIJA A D BEOGRAD STARI GRAD x","5678","socks4","4916","1","2023-11-09T16:08:29.301Z","81","3792","4695"
"103.47.93.219","elite","AS134058","IN","Broban Internet Services Pvt.ltd","194","Broban  PVT Ltd.","1080","socks4","4592","1","2023-11-09T16:08:29.613Z","99","4662","4704"
"36.95.48.45","elite","AS7713","ID","PT. Telekomunikasi Indonesia","194","Telekomunikasi Indonesia","1080","socks4","4608","3","2023-11-09T16:08:29.509Z","98","4678","4762"
"103.47.93.217","elite","AS134058","IN","Broban Internet Services Pvt.ltd","199","Broban  PVT Ltd.","1080","socks4","2402","3","2023-11-09T16:08:29.597Z","99","4661","4695"
"195.93.200.140","elite","AS44335","DE","nocyo GmbH","92","nocyo GmbH","80","socks4","4996","2","2023-11-09T16:08:29.203Z","84","3856","4580"
"101.204.186.61","elite","AS4837","CN","China Unicom Sichuan Province Network","299","N/A","24388","socks5","4186","2","2023-11-09T16:08:29.499Z","54","2527","4685"
"165.90.60.73","elite","AS37675","ZA","SkyWire (PTY) LTD","200","SkyWire (PTY) LTD","4145","socks4","3602","1","2023-11-09T16:08:29.206Z","81","3845","4751"
"120.238.19.2","elite","AS9808","CN","China Mobile communications corporation","221","China Mobile","1080","socks4","5089","2","2023-11-09T16:08:28.100Z","74","3457","4667"
"103.59.203.145","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","295","NET 4 U Services PVT LTD","4145","socks4","4899","1","2023-11-09T16:08:28.102Z","99","4607","4638"
"91.134.157.82","elite","AS16276","FR","OVH SAS","89","OVH","15220","socks4","2488","1","2023-11-09T16:08:28.204Z","38","1805","4745"
"212.83.130.68","elite","AS12876","FR","Online S.A.S.","86","ONLINE","59480","socks4","3712","1","2023-11-09T16:08:27.295Z","100","4695","4700"
"1.1.1.177","elite","AS13335","AU","Cloudflare, Inc","5","APNIC and Cloudflare DNS Resolver project","80","socks4","5009","1","2023-11-09T16:08:27.010Z","100","4656","4656"
"103.66.233.137","elite","AS134014","IN","NET 4 U SERVICES","185","N/A","4145","socks4","5003","1","2023-11-09T16:08:27.098Z","100","4673","4691"
"104.20.75.132","elite","AS13335","US","Cloudflare, Inc.","11","Cloudflare, Inc.","80","socks4","1331","86","2023-11-09T16:08:27.502Z","100","4757","4757"
"51.83.135.35","elite","AS16276","PL","OVH SAS","39","OVH Sp. z o. o","2846","socks4","953","3","2023-11-09T16:08:27.302Z","90","4182","4638"
"103.47.93.244","elite","AS134058","IN","Broban Internet Services Pvt.ltd","157","Broban  PVT Ltd.","1080","socks4","416","1","2023-11-09T16:08:27.912Z","99","4650","4678"
"208.91.197.18","elite","AS40034","VG","Confluence Networks Inc","91","Confluence Networks Inc","40034","socks5","4392","1","2023-11-09T16:08:27.703Z","100","4646","4660"
"165.225.240.95","elite","AS62044","NL","Zscaler Switzerland GmbH","11","Zscaler, Inc","10605","socks5","1103","1","2023-11-09T16:08:27.895Z","98","4597","4696"
"186.251.254.253","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","380","Seanet Telecom Carazinho Eireli","31337","socks4","524","1","2023-11-09T16:08:27.908Z","100","4704","4719"
"182.92.127.180","elite","AS37963","CN","Addresses CNNIC","287","Aliyun Computing Co., LTD","3129","socks4","4994","1","2023-11-09T16:08:27.900Z","4","191","4606"
"221.225.152.167","elite","AS4134","CN","CHINANET jiangsu province network","214","N/A","24166","socks5","4892","92","2023-11-09T16:08:27.110Z","57","2702","4711"
"104.20.125.124","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3900","1","2023-11-09T16:08:26.897Z","100","4728","4729"
"168.227.158.29","elite","AS52898","BR","Multipla Serviços Inteligentes","230","Multipla Serviços Inteligentes","4145","socks4","5002","1","2023-11-09T16:08:26.812Z","97","4494","4640"
"137.110.161.153","elite","AS7377","US","University of California, San Diego","282","University of California, San Diego","80","socks4","4398","2","2023-11-09T16:08:26.603Z","100","4664","4667"
"104.19.79.238","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4301","1","2023-11-09T16:08:26.598Z","100","4617","4618"
"80.59.233.178","elite","AS3352","ES","Telefonica de Espana SAU","29","RIMA (Red IP Multi Acceso)","60008","socks4","4412","1","2023-11-09T16:08:26.803Z","100","4693","4700"
"50.233.111.162","elite","AS7922","US","Comcast Cable Communications, LLC","94","Comcast Cable Communications, LLC","32100","socks4","2489","1","2023-11-09T16:08:26.796Z","100","4672","4673"
"200.81.144.1","elite","AS270934","BR","Silva de Sá Informática LTDA","184","Silva de Sá Informática LTDA","1080","socks4","1318","25","2023-11-09T16:08:26.500Z","100","4723","4734"
"185.119.59.63","elite","AS9123","RU","TimeWeb Ltd.","47","TimeWeb Ltd","7777","socks5","3708","1","2023-11-09T16:08:26.609Z","74","3443","4646"
"91.233.75.141","elite","AS57592","PL","Syrion Sp. z o.o.","95","Syrion Sp. z o.o","5678","socks4","4801","1","2023-11-09T16:08:26.704Z","97","4543","4674"
"211.194.214.128","elite","AS4766","KR","Korea Telecom","292","KORNET","9050","socks4","5115","93","2023-11-09T16:08:25.809Z","100","4735","4741"
"93.171.224.43","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","50","PE TV and Radio Company Kentavr-TV","4153","socks4","5003","2","2023-11-09T16:08:25.899Z","99","4690","4717"
"183.88.37.94","elite","AS45629","TH","Triple T Broadband Public Company Limited","179","Triple T Broadband Public Company Limited","8080","socks4","908","1","2023-11-09T16:08:25.897Z","89","4120","4616"
"103.213.245.105","elite","AS18254","HK","Klayer LLC","196","N/A","4003","socks5","793","2","2023-11-09T16:08:21.296Z","92","4248","4628"
"95.217.144.183","elite","AS24940","FI","Hetzner Online GmbH","39","HETZNER-DC","44965","socks4","4612","1","2023-11-09T16:08:21.599Z","98","4605","4706"
"83.168.84.130","elite","AS35179","PL","ESPOL-FH","100","N/A","4153","socks4","4302","1","2023-11-09T16:08:21.525Z","37","1714","4667"
"121.230.209.19","elite","AS4134","CN","Chinanet","291","Chinanet JS","3256","socks4","4893","2","2023-11-09T16:08:21.796Z","75","3500","4685"
